response_id;birth_year;gender;seniority;industry;household;metro_regional;remote_frequency;remote_preference;collaboration_easy;promotion_reduced;regular_breaks;remote_employer_advantages;remote_with_paycut;barrier_caring_responsibility;barrier_connectivity;barrier_systems_software;barrier_collaboration_remotely;barrier_poor_management;barrier_equipment;barrier_isolation;barrier_costs;barrier_cyber_security;barrier_non_remote_tasks;barrier_workspace;barrier_motivation;barrier_management;barrier_living_situation;barrier_skills;barrier_health_safety;biggest_barrier_hybrid;smallest_barrier_hybrid;remote_feel_better;remote_more_active;colleagues_in_person;productivity
165;1994;Male;More than 5 years;Financial and Insurance;Couple with no dependent children;Metro;60%;40%;Somewhat disagree;Somewhat agree;Somewhat agree;Somewhat Positive;No;Somewhat worsened;Stayed about the same;Somewhat worsened;Somewhat worsened;Somewhat improved;Stayed about the same;Significantly worsened;Somewhat improved;Somewhat worsened;Somewhat worsened;Stayed about the same;Somewhat worsened;Significantly worsened;Somewhat improved;Stayed about the same;Significantly worsened;Difficulty collaborating with remote colleagues;Lack of privacy;Neither agree nor disagree;Neither agree nor disagree;Strongly agree;I知 10% less productive when working remotely
166;1995;Male;Between 6 and 12 months;Information Media and Telecommunications;Couple with no dependent children;Metro;50% - I spent about half of my time remote working;60%;Strongly agree;Somewhat agree;Strongly agree;Strongly Positive;No;Significantly improved;Somewhat improved;Significantly improved;Somewhat improved;Significantly improved;Significantly improved;Somewhat improved;Significantly improved;Stayed about the same;Somewhat improved;Significantly improved;Stayed about the same;Significantly improved;Stayed about the same;Somewhat improved;Significantly improved;Noisy work environment;Interruptions;Strongly agree;Strongly agree;Somewhat agree;I知 50% more productive when working remotely (or more)
167;1995;Male;Between 1 and 5 years;Construction;Couple with no dependent children;Metro;50% - I spent about half of my time remote working;50% - About half of my time;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither positive nor negative;Yes;Somewhat worsened;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Difficulty collaborating with remote colleagues;Interruptions;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;My productivity is about same when I work remotely
168;1990;Female;More than 5 years;Information Media and Telecommunications;Couple with dependent children;Metro;40%;40%;Somewhat agree;Strongly disagree;Strongly agree;Strongly Positive;No;Somewhat worsened;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat worsened;Somewhat worsened;Stayed about the same;Significantly worsened;Stayed about the same;Stayed about the same;Difficulty collaborating with remote colleagues;Lack of privacy;Neither agree nor disagree;Somewhat disagree;Neither agree nor disagree;I知 30% less productive when working remotely
169;1987;Male;More than 5 years;Arts and Recreation;Couple with no dependent children;Regional;20%;60%;Strongly agree;Somewhat agree;Somewhat agree;Somewhat Positive;Yes;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat worsened;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Somewhat improved;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Difficulty collaborating with remote colleagues;Interruptions;Strongly agree;Strongly agree;Somewhat agree;I知 20% more productive when working remotely
170;1973;Male;More than 5 years;Public Administration and Safety;Single person;Metro;30%;20%;Somewhat agree;Neither agree nor disagree;Somewhat disagree;Neither positive nor negative;No;Stayed about the same;Somewhat worsened;Stayed about the same;Significantly worsened;Somewhat worsened;Significantly worsened;Somewhat worsened;Somewhat worsened;Somewhat improved;Somewhat improved;Somewhat worsened;Stayed about the same;Somewhat worsened;Stayed about the same;Significantly worsened;Somewhat worsened;Difficulty collaborating with remote colleagues;Interruptions;Somewhat agree;Somewhat agree;Somewhat disagree;I知 40% less productive when working remotely
171;1974;Male;Between 1 and 5 years;Professional, Scientific and Technical;Couple with dependent children;Regional;50% - I spent about half of my time remote working;100% - All of my time;Strongly agree;Neither agree nor disagree;Neither agree nor disagree;Strongly Positive;No;Not a barrier for me;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;NA;NA;Strongly agree;Somewhat agree;Neither agree nor disagree;I知 20% more productive when working remotely
172;1985;Male;Between 1 and 5 years;Construction;Single person;Metro;20%;70%;Somewhat agree;Neither agree nor disagree;Strongly agree;Neither positive nor negative;No;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Stayed about the same;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Difficulty collaborating with remote colleagues;Interruptions;Neither agree nor disagree;Somewhat agree;Neither agree nor disagree;My productivity is about same when I work remotely
173;1992;Female;More than 5 years;Construction;Couple with dependent children;Regional;Rarely or never;80%;Strongly agree;Strongly disagree;Neither agree nor disagree;Strongly Positive;Yes;Significantly improved;Significantly improved;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Not a barrier for me;Stayed about the same;Stayed about the same;Significantly worsened;Stayed about the same;Stayed about the same;Stayed about the same;NA;NA;Strongly agree;Strongly agree;Somewhat disagree;My productivity is about same when I work remotely
174;1983;Female;More than 5 years;Financial and Insurance;Single person;Regional;60%;80%;Somewhat agree;Somewhat disagree;Somewhat agree;Somewhat Positive;No;Not a barrier for me;Stayed about the same;Somewhat improved;Somewhat worsened;Stayed about the same;Stayed about the same;Somewhat worsened;Somewhat worsened;Not a barrier for me;Not a barrier for me;Stayed about the same;Not a barrier for me;Somewhat worsened;Not a barrier for me;Not a barrier for me;Stayed about the same;Noisy work environment;Lack of privacy;Somewhat agree;Somewhat agree;Strongly agree;I知 30% more productive when working remotely
175;1976;Female;More than 5 years;Retail Trade;Single person;Metro;10%;50% - About half of my time;Somewhat disagree;Neither agree nor disagree;Strongly disagree;Neither positive nor negative;Yes;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat worsened;Somewhat worsened;Stayed about the same;Significantly worsened;Not a barrier for me;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat worsened;Interruptions;Noisy work environment;Neither agree nor disagree;Neither agree nor disagree;Somewhat agree;I知 50% more productive when working remotely (or more)
176;2001;Female;Between 1 and 5 years;Education and Training;Multiple family household;Metro;Rarely or never;I would not have preferred to work remotely;Neither agree nor disagree;Somewhat disagree;Somewhat agree;Neither positive nor negative;No;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;NA;NA;Neither agree nor disagree;Somewhat disagree;Strongly agree;I知 10% less productive when working remotely
177;1996;Male;Between 1 and 5 years;Professional, Scientific and Technical;Single person;Metro;Less than 10% of my time;Less than 10% of my time;Strongly agree;Neither agree nor disagree;Strongly agree;Neither positive nor negative;No;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat worsened;Stayed about the same;Somewhat improved;Stayed about the same;Somewhat improved;Difficulty collaborating with remote colleagues;Interruptions;Somewhat agree;Somewhat disagree;Somewhat agree;I知 10% more productive when working remotely
178;1987;Male;Between 6 and 12 months;Electricity, Gas, Water and Waste;Couple with no dependent children;Metro;30%;50% - About half of my time;Somewhat agree;Neither agree nor disagree;Somewhat agree;Somewhat Negative;No;Somewhat worsened;Significantly worsened;Stayed about the same;Somewhat worsened;Somewhat improved;Somewhat worsened;Significantly worsened;Somewhat worsened;Somewhat worsened;Somewhat worsened;Significantly worsened;Significantly worsened;Somewhat improved;Somewhat improved;Significantly worsened;Significantly worsened;Difficulty collaborating with remote colleagues;Noisy work environment;Neither agree nor disagree;Somewhat agree;Neither agree nor disagree;I知 10% more productive when working remotely
179;1973;Male;More than 5 years;Public Administration and Safety;Couple with dependent children;Metro;80%;100% - All of my time;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat Positive;No;Somewhat improved;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Interruptions;Lack of privacy;Neither agree nor disagree;Somewhat agree;Somewhat agree;I知 10% more productive when working remotely
180;1963;Male;Between 1 and 5 years;Other Services;Couple with dependent children;Metro;Less than 10% of my time;I would not have preferred to work remotely;Strongly disagree;Strongly disagree;Strongly disagree;Neither positive nor negative;No;Not a barrier for me;Somewhat improved;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat worsened;Somewhat worsened;Stayed about the same;Somewhat worsened;Somewhat worsened;Stayed about the same;Somewhat worsened;Stayed about the same;Difficulty collaborating with remote colleagues;Interruptions;Neither agree nor disagree;Somewhat agree;Neither agree nor disagree;My productivity is about same when I work remotely
181;1997;Female;Between 1 and 5 years;Retail Trade;Other one family household;Metro;50% - I spent about half of my time remote working;40%;Somewhat agree;Neither agree nor disagree;Strongly agree;Neither positive nor negative;Yes;Not a barrier for me;Stayed about the same;Stayed about the same;Not a barrier for me;Somewhat worsened;Stayed about the same;Not a barrier for me;Not a barrier for me;Stayed about the same;Stayed about the same;Somewhat improved;Somewhat improved;Not a barrier for me;Stayed about the same;Somewhat improved;Somewhat improved;NA;NA;Strongly agree;Strongly agree;Neither agree nor disagree;I知 30% more productive when working remotely
